Data Extraída,Valor Total,Objeto,Data de Celebração,Objetivo
06 de dezembro de 2023,80000.0,"PATROCÍNIO REFERENTE AO PROJETO 5ª CONFERÊNCIA ESTADUAL DE CULTURA, NO MUNICÍPIO DE TERESINA(PI)",2023-12-04,"Patrocínio para realização do evento: 5ª Conferência Estadual de Cultura. Como tema ""Democracia e Direito à Cultura¿. Esta iniciativa tem como objetivo promover, fortalecer e dar voz à rica diversidade cultural que permeia nosso estado, e ao mesmo tempo, desenvolver a construção de políticas públicas que valorizem e protejam o nosso patrimônio cultural. Realizado nos dias 05 e 06 de dezembro de 2023 no município de Teresina(PI)."
11 de maio de 2024,80000.0,"Referente a Realização do evento ""FESTA DO VAQUEIRO"" a ser realizada no Município de Boqueirão - PI em 11 de maio de 2024.",2024-04-29,"Referente a Realização do evento ""FESTA DO VAQUEIRO"" a ser realizada no Município de Boqueirão - PI em 11 de maio de 2024.  Damasio Neto"
13/02/2024,80000.0,".SHOW de Carnaval da Cidade de Cajueiro da Praia / PI, BANDA DAMASIO NETO NA DATA 13/02/2024",2024-02-09,"SHOW de Carnaval da Cidade de Cajueiro da Praia / PI, BANDA DAMASIO NETO.SHOW de Carnaval da Cidade de Cajueiro da Praia / PI, BANDA DAMASIO NETO NA DATA 13/02/2024"
21 de FEVEREIRO de 2023,90000.0,"CARNAVAL DE PEDRO II, MUNICIPIO DE PEDRO II (PI)",2023-02-17,"REALIZACAO  DO CARNAVAL DE PEDRO II (PI). COM APRESENTAÇÃO ARTÍSTICA DA BANDA FORRÓ DOS PLAYS, NO DIA 21 DE FEVEREIRO DE 2023"
21 de fevereiro de 2023,90000.0,"CARNAVAL NO MUNICÍPIO DE GUADALUPE(PI). com apresentação artística da Banda : Canários do Reino, no dia 21 de fevereiro de 2023.",2023-02-17,"CARNAVAL NO MUNICÍPIO DE GUADALUPE(PI). com apresentação artística da Banda : Canários do Reino, no dia 21 de fevereiro de 2023."
29 de JUNHO de 2024,90000.0,"FESTEJOS DO BAIRRO POTI VELHO, NO MUNICÍPIO DE TERESINA(PI)",2024-06-25,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS) PARA APRESENTAÇÃO ARTÍSTICA NO EVENTO: FESTEJOS DO BAIRRO POTI VELHO, A SER REALIZADO NO PERÍODO DE 21 A 29 DE JUNHO DE 2024, NO MUNICÍPIO DE TERESINA(PI)"
07 de JULHO de 2023,90000.0,REALIZAÇÃO DO FESTIVAL DE QUADRILHAS DE JOCA MARQUES(PI),2023-07-05,"REALIZAÇÃO DO FESTIVAL DE QUADRILHAS DE JOCA MARQUES(PI), COM SHOW ARTÍSTICO DA BANDA FORRÓ DOS  PLAYS, A SER REALIZADO DIA 07 DE JULHO DE 2023, NA CIDADE DE JOCA MARQUES(PI)."
14 de dezembro de 2023,100000.0,"ANIVERSÁRIO DA CIDADE DE JOCA MARQUES, NO MUNICÍPIO DE JOCA MARQUES(PI)",,"Contratação de atrações musicais (bandas), para promoção de shows artísticos no evento: Aniversário da Cidade de Joca Marques no dia 14 de dezembro de 2023 no município de Joca Marques(PI)."
13 de dezembro de 2023,100000.0,ANIVERSÁRIO DA CIDADE DE OLHO D'AGUA DO PIAUÍ,2023-12-12,"Contratação de Artista(Banda) para a apresentação no Evento: Aniversário Da Cidade de Olho D'Água do Piauí a ser realizado no dia 13 de dezembro de 2023, no município de Olho d´Água do Piauí (PI)."
29 de ABRIL de 2024,100000.0,"ANIVERSÁRIO DA CIDADE DE PASSAGEM FRANCA, NO MUNICÍPIO DE PASSAGEM FRANCA DO PIAUÍ",2024-04-29,"CONTRATAÇÃO DE ATRAÇÃO MUSICAL(BANDA), PARA APRESENTAÇÃO ARTÍSTICA NOEVENTO: ANIVERSÁRIO DA CIDADE DE PASSAGEM FRANCA, A SER REALIZADO NO DIA 29 DE ABRIL DE 2024, NO MUNICÍPIO DE PASSAGEM FRANCA DO PIAUÍ"
15 de ABRIL de 2024,100000.0,ANIVERSÁRIO DA CIDADE DE SANTO ANTONIO DE LISBOA(PI),2024-04-12,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO ARTÍSTICA NO EVENTO: ANIVERSÁRIO DA CIDADE DE SANTO ANTONIO DE LISBOA, A SER REALIZADO NO DIA 15 DE ABRIL DE 2024, NO MUNICÍPIO DE SANTO ANTONIO DE LISBOA."
10 de MAIO de 2024,100000.0,Apresentação ANDERSON RODRIGUES nos FESTEJOS DE SÃO RAIMUNDO NONATO/PI,2024-05-10,"Apresentação musical da banda/artista ANDERSON RODRIGUES na oportunidade dos FESTEJOS da cidade de SÃO RAIMUNDO NONATO/PI, que acontecerá dia 10 de MAIO de 2024."
09 de MAIO de 2024,100000.0,Apresentação do artista ANDERSON RODRIGUES nos festejos do município DIRCEU ARCOVERDE,2024-04-26,"Apresentação musical da banda/artista ANDERSON RODRIGUES na oportunidade dos FESTEJOS da cidade de DIRCEU ARCOVERDE/PI, que acontecerá dia 09 de MAIO de 2024."
20 de FEVEREIRO de 2023,100000.0,"CARNAVAL DE ANGICAL, NO MUNICÍPIO DE ANGICAL(PI)",2023-02-17,"REALIZAÇÃO DO CARNAVAL DE ANGICAL, NO MUNICÍPIO DE ANGICAL(PI), COM APRESENTA MUSICAL DO CANTOR WELLIGTON OLIVEIRA E DA CANTORA JANAÍNA E BANDA, DIA 18 E 20 DE FEVEREIRO DE 2023, NA PRAÇA PRINCIAPAL DO MUNICÍPIO."
11 de OUTUBRO de 2023,100000.0,FESTEJOS DE FÁTIMA,2023-10-11,"FESTEJOS DE FÁTIMA, A SER REALIZADO NO DIA 11 DE OUTUBRO DE 2023, NO MUNICÍPIO DE PICOS-PI."
11 de Fevereiro de 2024,100000.0,"O objeto do presente contrato é a apresentação artística da banda FORRÓ SUPERID , contratado através de seu empresário exclusivo, empresa R GOMES DA CUNHA LTDA, NO EVENTO CARNAVAL DO MUNICÍPIO DE BARRO DURO-PI, a ser realizado no dia  11 de Fevereiro de 2024,",2024-02-07,"O objeto do presente contrato é a apresentação artística da banda FORRÓ SUPERID , contratado através de seu empresário exclusivo, empresa R GOMES DA CUNHA LTDA, NO EVENTO CARNAVAL DO MUNICÍPIO DE BARRO DURO-PI, a ser realizado no dia  11 de Fevereiro de 2024,"
11 de Fevereiro de 2024,100000.0,"O objeto do presente contrato é a apresentação artística da banda FORRÓ SUPERID , contratado através de seu empresário exclusivo, empresa R GOMES DA CUNHA LTDA, NO EVENTO CARNAVAL DO MUNICÍPIO DE MONSENHOR GIL-PI, a ser realizado no dia  11 de Fevereiro de 2024",2024-02-07,"O objeto do presente contrato é a apresentação artística da banda FORRÓ SUPERID , contratado através de seu empresário exclusivo, empresa R GOMES DA CUNHA LTDA, NO EVENTO CARNAVAL DO MUNICÍPIO DE MONSENHOR GIL-PI, a ser realizado no dia  11 de Fevereiro de 2024."
11 de Abril de 2024,100000.0,"O objeto do presente contrato é a apresentação artística da banda MALA 100 ALÇA, contratado através de seu empresário exclusivo, empresa RINALDO MACHADO SANTOS, NO EVENTO ANIVERSÁRIO, a ser realizado no munícipio de São João da Canabrava-PI, no dia  11 de Abril de 2024,",2024-02-06,"O objeto do presente contrato é a apresentação artística da banda MALA 100 ALÇA, contratado através de seu empresário exclusivo, empresa RINALDO MACHADO SANTOS, NO EVENTO ANIVERSÁRIO, a ser realizado no munícipio de São João da Canabrava-PI, no dia  11 de Abril de 2024,"
01 de JUNHO de 2024,100000.0,"PATROCÍNIO AO PROJETO ""COMBOIO CULTURAL"", NO MUNICÍPIO DE UNIÃO(PI)",2024-05-22,"CONCESSÃO DE PATROCÍNIO PARA A REALIZAÇÃO DO EVENTO COMBOIO CULTURAL, A SER REALIZADO NO DIA 01 DE JUNHO DE 2024, NO MUNICÍPIO DE UNIÃO(PI)."
13 de FEVEREIRO de 2024,100000.0,"PATROCÍNIO AO PROJETO ""CULTURA EM AÇÃO"", NO MUNICÍPIO DE CAMPO MAIOR(PI)",2024-02-08,"PATROCÍNIO AO PROJETO ""CULTURA EM AÇÃO"", A SER REALIZADO NO PERIODO DE 09 A 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE CAMPO MAIOR(PI)."
15 de JUNHO de 2024,100000.0,"PATROCÍNIO AO PROJETO FESTIVAL DE HUMOR, NO MUNICÍPIO DE UNIÃO(PI)",2024-05-22,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO FESTIVAL DE HUMOR, A SER REALIZADO NO DIA 15 DE JUNHO DE 2024, NO MUNICÍPIO DE UNIÃO(PI)."
27 de JANEIRO de 2024,100000.0,"PATROCÍNIO AO PROJETO ZÉ PEREIRA NO TREM, NO MUNICÍPIO DE TERESINA(PI)",2024-01-26,"PATROCÍNIO AO PROJETO ZÉ PEREIRA NO TREM, A SER REALIZADO NO DIA 27 DE JANEIRO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
02 de Agosto de 2024,100000.0,"Patrocínio para a realização do evento:  Comboios Cultura e Cidadania, a ser realizado no dia 02 de Agosto de 2024, no município de Inhuma -PI",2024-07-24,"Patrocínio para a realização do evento:  Comboios Cultura e Cidadania, a ser realizado no dia 02 de Agosto de 2024, no município de Inhuma -PI."
10 de JULHO de 2024,100000.0,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: VIVENDO O FUTURO, UM GUIA SOBRE IA PARA OS JOVENS, COM EXIBIÇÃO EM TV ABERTA PARA 08(OITO) ESTADO DA FEDERAÇÃO.",2024-07-09,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: VIVENDO O FUTURO, UM GUIA SOBRE IA PARA JOVENS, COM EXIBIÇÃO NO DIA 10 DE JULHO DE 2024, EM TV ABERTA PARA 08(OITO) ESTADO DA FEDERAÇÃO."
10 de DEZEMBRO de 2023,100000.0,"PATROCÍNIO REFERENTE AO PROJETO ARTE DO CIRCO EM TODO LUGAR, NO MUNICÍPIO DE UNIÃO(PI)",,"PATROCÍNIO PARA REALIZAÇÃO DO PROJETO ARTE DO CIRCO EM TODO LUGAR, QUE ACONTECERÁ NO PERÍODO DE 08 A 10 DE DEZEMBRO DE 2023, NO MUNICÍPIO DE UNIÃO(PI)."
08 de FEVEREIRO de 2024,100000.0,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ""FESTIVAL DE MARCHINHAS CARNAVALESCAS DAS COMUNIDADES TERAPÊUTICAS¿ A SER REALIZADO NO DIA 08 DE FEVEREIRO DE 2024, NO PARQUE POTYCABANA  NO MUNICÍPIO DE TERESINA-PI, COM LOCAÇÃO E ESTRUTURA, PRODUÇÃO DE MÍDIAS DE DIVULGAÇÃO.",2024-01-30,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ""FESTIVAL DE MARCHINHAS CARNAVALESCAS DAS COMUNIDADES TERAPÊUTICAS¿ A SER REALIZADO NO DIA 08 DE FEVEREIRO DE 2024, NO PARQUE POTYCABANA  NO MUNICÍPIO DE TERESINA-PI, COM LOCAÇÃO E ESTRUTURA, PRODUÇÃO DE MÍDIAS DE DIVULGAÇÃO."
13 de FEVEREIRO de 2024,100000.0,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ""PRÉ ¿ CARNAVAL CAI NA RUA¿ A SER REALIZADO NO DIA 13 DE FEVEREIRO DE 2024, NA AV. HOMERO CASTELO BRANCO ¿NA CIDADE DE TERESINA-PI, COM LOCAÇÃO E ESTRUTURA, PRODUÇÃO DE MÍDIAS DE DIVULGAÇÃO.",2024-02-08,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ""PRÉ ¿ CARNAVAL CAI NA RUA¿ A SER REALIZADO NO DIA 13 DE FEVEREIRO DE 2024, NA AV. HOMERO CASTELO BRANCO ¿NA CIDADE DE TERESINA-PI, COM LOCAÇÃO E ESTRUTURA, PRODUÇÃO DE MÍDIAS DE DIVULGAÇÃO."
18 de AGOSTO de 2023,100000.0,REALIZAÇÃO DA II MANDIOFEST NO MUNICÍPIO DE MARCOLÂNDIA(PI),2023-08-17,"REALIZAÇÃO DA II MANDIOFEST, COM SHOW ARTÍSTICO DA BANDA CHICÃO DOS TECLADO, QUE ACONTECERÁ DIA 18 DE AGOSTO DE 2023, NO MUNICÍPIO DE MARCOLÂNDIA(PI)."
12 de OUTUBRO de 2023,100000.0,REALIZAÇÃO DA TRADICIONAL FESTA DAS CRIANÇAS DO CLUBE DOS RODOVIÁRIOS EM TERESINA(PI),2023-10-10,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO DE SHOW ARTÍSTICO NO EVENTO: TRADICIONAL FESTA DAS CRIANÇAS DO CLUBE DOS RODOVIÁRIOS EM TERESINA , A SER REALIZADO DIA 12 DE OUTUBRO DE 2023, NO MUNICÍPIO DE TERESINA(PI)."
05 de AGOSTO de 2023,100000.0,"REALIZAÇÃO DO IV EXPOSÃOJU, NO MUNICÍPIO DE SÃO JULIÃO(PI)",2023-08-04,"REALIZAÇÃO DO IX EXPOSÃOJU, COM SHOW ARTÍSTICO DA BANDA ZÉ CANTOR, DIA 05 DE AGOSTO DE 2023, NO MUNICÍPIO DE SÃO JULIÃO(PI)."
02 de AGOSTO de 2023,100000.0,REALIZAÇÃO DOS FESTEJOS DO SENHOR BOM JESUS DA LAPA EM CRISTINO CASTRO(PI),2023-07-28,"REALIZAÇÃO DOS FESTEJOS DO SENHOR BOM JESUS DA LAPA EM CRISTINO CASTRO, COM SHOW ARTÍSTICO DA BANDA CHICÃO DOS TECLADOS, DIA 02 DE AGOSTO DE 2023, EM PRAÇA PÚBLICA NO MUNICÍPIO DE CRISTINO CASTRO(PI)"
27 de abril de 2024,100000.0,"Referente a Realização do evento ""12ª CAPRINOVA"" a ser realizada no Município de Queimada Nova - PI em 27 de abril de 2024.",2024-04-16,"Referente a Realização do evento ""12ª CAPRINOVA"" a ser realizada no Município de Queimada Nova - PI em 27 de abril de 2024."
17/07/2022,100000.0,"REFERENTE A SERVIÇOS DE CONTRATAÇÃO DE ATRAÇÃO MUSICAL DA BANDA;  ANDERSON RODRIGUES, NO EVENTO ""EXPOCORRENTE"" NO MUNICIPIO DE CORRENTE -PI , NO PERIODO DE 12 A 17/07/2022",2022-07-15,"REFERENTE A SERVIÇOS DE CONTRATAÇÃO DE ATRAÇÃO MUSICAL DA BANDA;  ANDERSON RODRIGUES, NO EVENTO ""EXPOCORRENTE"" NO MUNICIPIO DE CORRENTE -PI , NO PERIODO DE 12 A 17/07/2022"
20 de janeiro de 2024,100000.0,"Visando o patrocínio do evento ¿LUZILÂNDIA NÁUTICA¿, que ocorreu no dia 20 de janeiro de 2024, em Luzilândia-PI,",2024-01-19,"Visando o patrocínio do evento ¿LUZILÂNDIA NÁUTICA¿, que ocorreu no dia 20 de janeiro de 2024, em Luzilândia-PI,"
31 de MARÇO de 2024,109000.0,"PATROCÍNIO AO PROJETO SEMANA SANTA DE OEIRAS: FÉ, CULTURA POPULAR E ARTE RELIGIOSA, NO MUNICÍPIO DE OEIRAS(PI)",2024-03-26,"PATROCÍNIO PARA A REALIZAÇÃO DO EVENTO SEMANA SANTA: FÉ, CULTURA POPULAR E ARTE RELIGIOSA, A SER  REALIZADO NOS DIAS 21 e 31 DE MARÇO DE 2024, NO MUNICÍPIO DE OEIRAS(PI)."
18 de MARÇO de 2024,110000.0,APRESENTAÇÃO ARTÍSTICA FORRÓ DOS PLAYS NOS FESTEJOS DE SÃO JOSÉ - INHUMA EM 18.03.2024,2024-03-06,"APRESENTAÇÃO ARTÍSTICA DA BANDA FORRÓ DOS PLAYS, NO DIA 18 DE MARÇO DE 2024, NOS FESTEJOS DE SÃO JOSÉ, NO MUNICÍPIO DE INHUMA/PI"
01 de MAIO de 2024,110000.0,"FESTA DO TRABALHADOR - BAIRRO USINA SANTANA, NO MUNICÍPIO DE TERESINA(PI)",2024-04-29,"CONTRAÇÃO DE ATRAÇÃO MUSICAL(BANDAS) PARA APRESENTAÇÃO NO EVENTO: FESTA DO TRABALHADOR - BAIRRO USINA SANTANA, A SER REALIZADO NO DIA 01 DE MAIO DE 2024, NO MUNICIPIO DE TERESINA(PI)."
28 de MARÇO de 2024,110000.0,"PATROCÍNIO AO PROJETO PAIXÃO DE CRISTO DE ESPERANTINA 2024, NO MUNICÍPIO DE ESPERANTINA(PI)",2024-03-26,"PATROCÍNIO PARA A REALIZAÇÃO DO EVENTO PAIXÃO DE CRISTO DE ESPERANINA 2024, A SER REALIZADO NO DIA 28 DE MARÇO DE 2024, NO MUNICÍPIO DE ESPERANTINA(PI)."
30 de MARÇO de 2024,130000.0,6ª VINAGREIRA FEST NO MUNICÍPIO DE LAGOA ALEGRE(PI),2024-03-25,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO ARTÍSTICA NO EVENTO: 6ª VINAGREIRA FEST, NO DIA 30 DE MARÇO DE 2024, EM PRAÇA PÚBLICA, NO MUNICÍPIO DE LAGOA ALEGRE(PI)."
27 de ABRIL de 2024,130000.0,"FESTEJOS DO MUNICÍPIO DE LANDRI SALES 2024, NO MUNICÍPIO DE LANDRI SALES(PI)",2024-04-23,"Apresentação Artística da Banda FORRÓ DOS PLAYS, no dia 27 de ABRIL de 2024, no FESTEJOS DO MUNICÍPIO DE LANDRI SALES(PI)."
14 de FEVEREIRO de 2024,140000.0,"EVENTO DE SHOW ARTÍSTICO DA BANDA MARA PAVANELLY NO DIA 14 DE FEVEREIRO DE 2024, NO CARNAVAL DE LUIS CORREIA.",2024-02-09,evento ¿SHOW ARTÍSTICO DA BANDA MARA PAVANELLY NO DIA 14 DE FEVEREIRO DE 2024 ¿ NO CARNAVAL DE LUIS CORREIA¿
01 de MAIO de 2024,145000.0,"PATROCÍNIO REFERENTE AO PROJETO FESTA DO TRABALHADOR, NO MUNICÍPIO DE JOAQUIM PIRES(PI)",2024-04-30,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: FESTA DO TRABALHADOR, A SER REALIZADO NO DIA 01 DE MAIO DE 2024, NO MUNICÍPIO DE JOAQUIM PIRES(PI)."
21 de Setembro de 2023,150000.0,"ANIVERSÁRIO DA RÁDIO SÃO JOSÉ DOS ALTOS, NO MUNICÍPIO DE ALTOS(PI)",2023-09-20,"Aniversário da rádio São José dos Altos , no município de ALTOS -PI. Com apresentações artísticas das bandas : Janaína & Banda, e Chicão dos Teclados, no dia 21 de Setembro de 2023."
30/03/2024,150000.0,"Apresentação Artística no Evento:Tradicional Sábado de Aleluia, em Juazeiro do Piauí, no município de Juazeiro do Piauí(PI)",2024-03-28,"Apresentação artística de banda  -  CHICABANA no evento : Tradicional Sábado de Aleluia, no dia 30/03/2024 em Juazeiro do Piauí/PI."
13 de fevereiro de 2024,150000.0,"CARNAVAL DO POVO - NO BAIRRO PROMORAR, NO MUNICÍPIO DE TERESINA(PI).",2024-02-08,"Realização da CARNAVAL DO POVO -  no bairro Promorar no município de Teresina(PI), apresentações musicais de JANAÍNA & BANDA e da banda CHICÃO DOS TECLADOS no dia 13 de fevereiro de 2024."
10 de fevereiro de 2024,150000.0,"CARNAVAL DO POVO - POVOADO SANTA TERESA, NO MUNICÍPIO DE TERESINA(PI)",2024-02-08,Realização do CARNAVAL DO POVO - POVOADO SANTA TERESA no município de Teresina(PI). Apresentação Musical das Bandas: WELLIGTON OLIVEIRA e CHICÃO DOS TECLADOS no dia 10 de fevereiro de 2024.
18 de MAIO de 2024,150000.0,"FESTA DO TRABALHADOR,¿ A SER REALIZADO NO DIA 18 DE MAIO DE 2024, NO PARQUE POTYCABANA, NA CIDADE DE TERESINA-PI.",2024-05-21,"FESTA DO TRABALHADOR,¿ A SER REALIZADO NO DIA 18 DE MAIO DE 2024, NO PARQUE POTYCABANA, NA CIDADE DE TERESINA-PI."
01 de MAIO de 2024,150000.0,"FESTA DO TRABALHADOR DE SUSSUAPARA, NO MUNICÍPIO DE SUSSUAPARA(PI)",2024-04-16,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO DE SHOWS ARTÍSTICO NO EVENTO: FESTA DO TRABALHADOR DE SUSSUAPARA, A SER REALIZADO NO DIA 01 DE MAIO DE 2024, NO MUNICÍPIO DE SUSSUAPARA(PI)."
02 de OUTUBRO de 2023,150000.0,"FESTEJOS DE SÃO FRANCISCO EM SANTA LUZ, MUNICÍPIO DE SANTA LUZ DO PIAUÍ(PI)",2023-09-29,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO DE SHOW ARTÍSTICO NO EVENTO: FESTEJOS DE SÃO FRANCISCO, A SER REALIZADO DIA 02 DE OUTUBRO DE 2023, NO MUNICÍPIO DE SANTA LUZ DO PIAUÍ(PI)."
13 de Fevereiro de 2024,150000.0,"O objeto do presente contrato é a apresentação artística da banda FORRÓ BANDIDO, contratado através de seu empresário exclusivo, empresa D DE C SILVA, NO EVENTO CARNAVAL DO MUNICÍPIO DE BARRO DURO-PI, a ser realizado nos dias  10 a 13 de Fevereiro de 2024",2024-02-06,"O objeto do presente contrato é a apresentação artística da banda FORRÓ BANDIDO, contratado através de seu empresário exclusivo, empresa D DE C SILVA, NO EVENTO CARNAVAL DO MUNICÍPIO DE BARRO DURO-PI, a ser realizado nos dias  10 a 13 de Fevereiro de 2024"
13 de Fevereiro de 2024,150000.0,"O objeto do presente contrato é a apresentação artística da banda FORRÓ BANDIDO, contratado através de seu empresário exclusivo, empresa D DE C SILVA, NO EVENTO CARNAVAL DO MUNICÍPIO DE MONSENHOR GIL-PI, a ser realizado nos dias  10 a 13 de Fevereiro de 2024,",2024-02-06,"O objeto do presente contrato é a apresentação artística da banda FORRÓ BANDIDO, contratado através de seu empresário exclusivo, empresa D DE C SILVA, NO EVENTO CARNAVAL DO MUNICÍPIO DE MONSENHOR GIL-PI, a ser realizado nos dias  10 a 13 de Fevereiro de 2024,"
21 de junho de 2024,150000.0,"PATROCÍNIO AO FESTEJOS DE SÃO JOÃO BATISTA, no município de São João da Serra(PI).",2024-06-21,"Patrocínio para realização dos FESTEJOS DE SÃO JOÃO BATISTA, a ser realizado no dia 21 de junho de 2024, em praça pública, no município de São João da Serra(PI)."
30 de JULHO de 2023,150000.0,PATROCINIO AO PROJETO DA 24° FESTA DO VAQUEIRO DE DEMERVAL LOBÃO(PI),2023-07-27,"PATROCINIO AO PROJETO DA 24° FESTA DO VAQUEIRO DE DEMERVAL LOBÃO(PI), A SER REALIZADA DIA 30 DE JULHO DE 2023, NO MUNICIPIO DE DEMERVAL LOBÃO(PI)."
26 de JULHO de 2023,150000.0,PATROCÍNIO AO PROJETO FESTEJOS DA PARÓQUIA DE SANTA ANA - 66 ANOS DE EMANCIPAÇÃO POLÍTICA DE MONSENHOR HIPÓLITO(PI),2023-07-25,"PATROCÍNIO AO PROJETO FESTEJOS DA PARÓQUIA DE SANTA ANA - 66 ANOS DE EMANCIPAÇÃO POLÍTICA DE MONSENHOR HIPÓLITO(PI), COM A ATRAÇÃO MUSICAL DA BANDA LÍBANOS, DIA 26 DE JULHO DE 2023, NO MUNICÍPIO DE MONSENHOR HIPÓLITO(PI)."
12 de MAIO de 2024,150000.0,"PATROCÍNIO AO PROJETO MOSTRA DE CINEMA DE TERESINA - THEREcine, NO MUNICÍPIO DE TERESINA(PI)",2024-05-06,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO MOSTRA DE CINEMA DE TERESINA - THEREcine, A SER REALIZADO NO PERÍODO DE 07 A 12 DE MAIO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
08 de SETEMBRO de 2023,150000.0,"PATROCÍNIO AO PROJETO NOITE CULTURAL, NO MUNICÍPIO DE ESPERANTINA(PI)",2023-09-07,"PATROCÍNIO PARA REALIZAÇÃO DO PROJETO NOITE CULTURAL, A SER REALIZADO DIA 08 DE SETEMBRO DE 2023, NO MUNICIPIO DE ESPERANTINA(PI)."
11 de MAIO de 2024,150000.0,"PATROCÍNIO AO PROJETO SEIS E MEIA - EIXO SUL, NOS MUNICÍPIOS DE CORRENTE  E BOM JESUS(PI)",2024-05-10,"CONCESSÃO DE PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PROJETO SEIS E MEIA, A SER REALIZADO NOS MUNICÍPIOS DE CORRENTE(PI), NO DIA 11 DE MAIO DE 2024, NA CASA DE CULTURA, E EM BOM JESUS(PI) NO DIA 12 DE MAIO DE 2024, NO THEATRO ALARD."
12 de MAIO de 2024,150000.0,"PATROCÍNIO AO PROJETO SEIS E MEIA - EIXO SUL, NOS MUNICÍPIOS DE CORRENTE  E BOM JESUS(PI)",2024-05-10,"CONCESSÃO DE PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PROJETO SEIS E MEIA, A SER REALIZADO NOS MUNICÍPIOS DE CORRENTE(PI), NO DIA 11 DE MAIO DE 2024, NA CASA DE CULTURA, E EM BOM JESUS(PI) NO DIA 12 DE MAIO DE 2024, NO THEATRO ALARD."
13 de MAIO de 2024,150000.0,"PATROCÍNIO AO PROJETO SEIS E MEIA - EIXO SUL, NOS MUNICÍPIOS DE FLORIANO E TERESINA(PI)",2024-05-10,"CONCESSÃO DE PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PROJETO SEIS E MEIA, A SER REALIZADO NOS MUNICÍPIOS DE FLORIANO(PI), NO DIA 13 DE MAIO DE 2024, NO TEATRO MARIA BONITA, E EM TERESINA(PI) NO DIA 14 DE MAIO DE 2024, NO THEATRO 4 DE SETEMBRO."
14 de MAIO de 2024,150000.0,"PATROCÍNIO AO PROJETO SEIS E MEIA - EIXO SUL, NOS MUNICÍPIOS DE FLORIANO E TERESINA(PI)",2024-05-10,"CONCESSÃO DE PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PROJETO SEIS E MEIA, A SER REALIZADO NOS MUNICÍPIOS DE FLORIANO(PI), NO DIA 13 DE MAIO DE 2024, NO TEATRO MARIA BONITA, E EM TERESINA(PI) NO DIA 14 DE MAIO DE 2024, NO THEATRO 4 DE SETEMBRO."
23 de agosto de 2024,150000.0,patrocinio do evento 28° Convenção Lojista do Piauí solicitado pela Federação das Câmaras de Dirigentes Lojistas do Piauí (FCDL-PI) no dia 23 de agosto de 2024.,2024-05-13,Referente Patrocínio do evento 28° Convenção Lojista do Piauí solicitado pela Federação das Câmaras de Dirigentes Lojistas do Piauí (FCDL-PI) no dia 23 de agosto de 2024.
28 de junho de 2024,150000.0,"patrocínio referente ao evento ""11° edição da campanha ""LIQUIDA TERESINA"" realizado pela empresa Câmara de Dirigentes Lojistas de Teresina, entre os dias 28 de junho de 2024 a 07 de julho de 2024.",2024-05-13,"patrocínio referente ao evento ""11° edição da campanha ""LIQUIDA TERESINA"" realizado pela empresa Câmara de Dirigentes Lojistas de Teresina, entre os dias 28 de junho de 2024 a 07 de julho de 2024."
07 de julho de 2024,150000.0,"patrocínio referente ao evento ""11° edição da campanha ""LIQUIDA TERESINA"" realizado pela empresa Câmara de Dirigentes Lojistas de Teresina, entre os dias 28 de junho de 2024 a 07 de julho de 2024.",2024-05-13,"patrocínio referente ao evento ""11° edição da campanha ""LIQUIDA TERESINA"" realizado pela empresa Câmara de Dirigentes Lojistas de Teresina, entre os dias 28 de junho de 2024 a 07 de julho de 2024."
29 de MARÇO de 2024,150000.0,"PATROCÍNIO REFERENTE AO PROJETO PAIXÃO DE CRISTO DE BOM JESUS, NO MUNICÍPIO DE BOM JESUS(PI)",2024-03-28,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PAIXÃO DE CRISTO, A SER REALIZADO NO DIA 29 DE MARÇO DE 2024 NO TEATRO NATURAL NO SALÃO DA SERRA DA CIDADE DE BOM JUSUS, NO MUNICÍPIO DE BOM JESUS(PI)."
