Data Extraída,Valor Total,Objeto,Data de Celebração,Objetivo
14 de abril de 2024,250000.0,"Referente ao patrocínio relativo  ao Projeto EMPREENDE PIAUÍ REDES DE PEDRO II, que será exibido na data de 14 de abril de 2024, em emissora de TV aberta,",2024-04-09,"Referente ao  patrocínio relativo ao Projeto EMPREENDE PIAUÍ REDES DE PEDRO II, que será exibido na data de 14 de abril de 2024, em emissora de TV aberta,"
07/07/2023,250000.0,REFERENTE A REALIZAÇÃO DE VAQUEJADA NO MUNICIPIO DE COLÔNIA DO PI - PI,2023-07-07,REFERENTE A REALIZAÇÃO DE VAQUEJADA NO MUNICIPIO DE COLÔNIA DO PI - PI Data 07/07/2023 Banda: Zé Vaqueiro
13 de FEVEREIRO de 2024,260000.0,CARNAVAL DO POVO - BAIRRO SANTA LUZIA EM TERESINA(PI),2024-02-09,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANADAS) PARA REALIZAÇÃO DO CARNAVAL DO POVO - BAIRRO SANTA LUZIA, A SER REALIZADO DIA 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
15 de JUNHO de 2024,265000.0,Apresentação PE FÁBIO DE MELO nos festejos de CAMPO MAIOR/PI,2024-06-14,"APRESENTAÇÃO ARTÍSTICA DO PADRE FÁBIO DE MELO, COM DURAÇÃODE 01:30HS, A SER REALIZADA NO DIA 15 DE JUNHO DE 2024, EM PRAÇA PÚBLICA, NA CIDADE DE CAMPO MAIOR/PI, NA OPORTUNIDADE DOS FESTEJOS DE SANTO ANTÔNIO.  CONTRATO 139/2024"
28 de ABRIL de 2024,280000.0,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ¿PEDAL DO TRABALHADOR¿, NOS DIAS 27 E 28 DE ABRIL  DE 2024, NO MUNICÍPIO DE ALTOS-PI.",2024-04-27,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ¿PEDAL DO TRABALHADOR¿, NOS DIAS 27 E 28 DE ABRIL  DE 2024, NO MUNICÍPIO DE ALTOS-PI."
20 de Abril de 2024,280000.0,"Referente ao Patrocinio para realizar Eventos FIOS DE PROSPERIDADE: O POLO TÊXTIL DE PIRIPIRI, que será exibido na data de 20 de Abril de 2024, Em Tv aberta",2024-04-22,"Referente Patrocinio  para realização de Eventos  FIOS DE PROSPERIDADE: O POLO TÊXTIL DE PIRIPIRI, que será exibido na data de 20 de Abril de 2024, Em Tv aberta."
09 de MARÇO de 2024,290000.0,3ª FeMMEPi - Feira de Mulheres Microempreendedoras de Picos,2024-03-08,¿3º FeMMEPi - Feira de Mulheres Microempreendedora de Picos¿ LOCAL E CIDADE: PICOENSE CLUBE ¿ PICOS/PI DATA: 09 DE MARÇO DE 2024
29 de Julho de 2023,290000.0,"I FEIRA DA AGRICULTURA IRRIGADA, no municipio de BONFIM DO PIAUÍ, nos dias 28 e 29 de Julho de 2023",2023-07-27,"I FEIRA DA AGRICULTURA IRRIGADA, no município de BONFIM DO PIAUÍ, nos dias 28 e 29 de Julho de 2023."
13 de abril de 2024,290000.0,"Referente ao patrocínio relativo ao Projeto EMPREENDE PIAUI CERÂMICA DA CAPIVARA, que será exibido na data de 13 de abril de 2024, em TV ABERTA.",2024-04-19,"Referente ao patrocínio relativo ao Projeto EMPREENDE PIAUI CERÂMICA DA CAPIVARA, que será exibido na data de 13 de abril de 2024, em TV ABERTA."
31 de MARÇO de 2024,300000.0,"ANIVERSÁRIO DE SÃO GONÇALO DO PIAUÍ, NO MUNICÍPIO DE SÃO GONÇALO DO PIAUÍ(PI)",2024-03-25,"CONTRATAÇÃO DE ATRAÇÃO MUSICAL(BANDA) PARA APRESENTAÇÃO ARTÍSTICA NO EVENTO: ANIVERSÁRIO DE SÃO GONÇALO DO PIAUÍ, A SER REALIZADO NO DIA 31 DE MARÇO DE 2024, NO MUNICÍPIO DE SÃO GONÇALO DO PIAUÍ."
